Time[s],Voltage[V],Current[A],abs(Power) [W],Energy [Wh],newVoc,newCurrent,loadV
initial,,,,,441,,
0,197.6699066,7.118499756,1407.113182,0.039086477,440.999014,3.200904469,439.5986183
0.1,211.1762848,7.121795654,1503.954347,0.04177651,440.9979602,3.421960022,439.5008527
0.2,222.3730011,7.126235962,1584.682477,0.044018958,440.9968498,3.606312334,439.4190881
0.3,231.6614838,7.152633667,1656.989728,0.046027492,440.9956887,3.771494473,439.3456599
0.4,239.3811646,7.169540405,1716.252932,0.047673693,440.9944861,3.906921747,439.2852079
0.5,245.785614,7.155685425,1758.764536,0.04885457,440.9932537,4.004094985,439.2414622
0.6,251.1172638,7.149993896,1795.486903,0.049874636,440.9919956,4.088052612,439.2034726
0.7,255.5554047,7.171340942,1832.674937,0.050907637,440.9907115,4.173089842,439.1649846
0.8,259.2533875,7.172668457,1859.538595,0.05165385,440.9894085,4.23453145,439.1368009
0.9,262.3269348,7.163070679,1879.066375,0.052196288,440.9880918,4.279203286,439.1159403
1,264.8999939,7.168579102,1898.95656,0.052748793,440.9867612,4.32470844,439.0947012
1.1,267.0454865,7.181182861,1917.70247,0.053269513,440.9854174,4.367600642,439.0745921
1.2,268.8433685,7.172546387,1928.291532,0.053563654,440.9840662,4.391836988,439.0626375
1.3,295.129425,7.184356689,2120.315059,0.058897641,440.9825805,4.831317874,438.8688789
1.4,295.1337891,7.178421021,2118.594595,0.05884985,440.981096,4.827395102,438.8691106
1.5,295.1326752,7.202713013,2125.75596,0.059048777,440.9796064,4.843808567,438.8604402
1.6,295.1317139,7.196365356,2123.875641,0.058996546,440.9781182,4.839519739,438.8608283
1.7,295.1339569,7.157241821,2112.345099,0.058676253,440.9766381,4.813135574,438.8708913
1.8,295.1306458,7.180099487,2119.067398,0.058862983,440.9751532,4.828543334,438.8626655
1.9,295.1326752,7.165405273,2114.745227,0.058742923,440.9736714,4.818663571,438.8655061
2,295.1364288,7.196777344,2124.031164,0.059000866,440.9721831,4.839941608,438.8547086
2.1,295.1381683,7.197616577,2124.291373,0.059008094,440.9706946,4.840553908,438.8529522
2.2,295.1408691,7.183044434,2120.009977,0.058889166,440.9692091,4.830767251,438.8557484
2.3,295.1421509,7.197387695,2124.252485,0.059007013,440.9677206,4.840497828,438.8500028
2.4,295.13974,7.166610718,2115.151624,0.058754212,440.9662385,4.819676083,438.8576302
2.5,295.1393433,7.181549072,2119.557677,0.058876602,440.9647533,4.829780904,438.8517241
2.6,295.1448975,7.157913208,2112.62156,0.058683932,440.9632729,4.813915855,438.8571848
2.7,295.1381683,7.186706543,2121.071405,0.05891865,440.9617867,4.833279729,438.8472268
2.8,295.1354218,7.176269531,2117.971335,0.058832537,440.9603026,4.826197854,438.848841
2.9,295.1349792,7.211303711,2128.307971,0.059119666,440.9588113,4.84988283,438.8369875
3,295.1383362,7.188018799,2121.459909,0.058929442,440.9573248,4.834218687,438.8423541
3.1,295.1339569,7.16696167,2115.213757,0.058755938,440.9558426,4.819933073,438.8471219
3.2,295.13974,7.174407959,2117.4529,0.058818136,440.9543589,4.825076457,438.8433879
3.3,295.1381073,7.178359985,2118.60758,0.058850211,440.9528744,4.827736782,438.8407395
3.4,295.1382294,7.180709839,2119.301987,0.0588695,440.9513893,4.829343227,438.8385517
3.5,295.1392365,7.18711853,2121.200675,0.058922241,440.949903,4.83370725,438.8351561
3.6,295.1383362,7.200927734,2125.26983,0.059035273,440.9484138,4.843041381,438.8295832
3.7,295.1417084,7.186279297,2120.970749,0.058915854,440.9469276,4.833213694,438.8323966
3.8,295.145462,7.168106079,2115.633981,0.058767611,440.9454452,4.821010035,438.8362533
3.9,295.1413116,7.185440063,2120.720205,0.058908895,440.9439592,4.832672846,438.8296648
4,295.1442261,7.177581787,2118.421822,0.058845051,440.9424748,4.827426396,438.8304757
4.1,295.1418152,7.197387695,2124.250069,0.059006946,440.9409863,4.840788621,438.8231413
4.2,295.1436615,7.176742554,2118.170075,0.058838058,440.9395021,4.826882801,438.8277408
4.3,295.1399078,7.185195923,2120.638062,0.058906613,440.9380161,4.832550518,438.8237753
4.4,295.1386719,7.183044434,2119.994194,0.058888728,440.9365306,4.831092591,438.8229276
4.5,295.1376038,7.190002441,2122.040092,0.058945558,440.9350437,4.835793882,438.8193838
4.6,295.1394043,7.177825928,2118.459268,0.058846091,440.9335592,4.827610696,438.8214796
4.7,295.1387329,7.171951294,2116.720617,0.058797795,440.932076,4.823645841,438.821731
4.8,295.1434937,7.169311523,2115.97565,0.058777101,440.9305934,4.821956357,438.8209874
4.9,295.1405334,7.18598938,2120.876739,0.058913243,440.9291072,4.833195649,438.8145841
5,295.141037,7.192276001,2122.735797,0.058964883,440.9276198,4.837469204,438.811227
5.1,295.1357574,7.198822021,2124.62979,0.059017494,440.9261311,4.841822838,438.8078336
5.2,295.1417084,7.176330566,2118.034463,0.058834291,440.9246469,4.826736459,438.8129497
